date,open,close,high,low,volume
1452397229,2929.08,2929.92,2929.92,2928.67,282.314
1452397257,2929.81,2929.46,2929.82,2928.9,395.048
1452397286,2929.51,2929.44,2929.78,2929.3,277.094
1452397322,2929.72,2929.9,2929.98,2929.01,338.526
1452397359,2930.46,2930.39,2930.71,2929.96,174.465
1452397384,2930.91,2930.17,2931.0,2930.1,217.66
1452397404,2930.2,2930.27,2930.39,2929.92,182.789
1452397433,2930.02,2930.11,2930.36,2929.87,174.092
1452397477,2930.69,2930.8,2930.9,2930.13,277.071
1452397500,2930.65,2930.15,2930.69,2929.85,412.555
1452397528,2929.79,2929.98,2929.98,2929.56,188.048
1452397564,2929.57,2929.79,2930.0,2929.5,357.397
1452397583,2930.0,2929.18,2930.1,2929.14,304.471
1452397633,2929.29,2929.32,2929.46,2929.05,240.268
1452397653,2929.15,2929.1,2929.16,2928.61,359.906
1452397677,2929.25,2929.28,2929.45,2929.0,250.931
1452397712,2928.62,2928.6,2928.87,2928.55,267.809
1452397733,2928.55,2928.97,2929.29,2928.55,283.159
1452397768,2929.2,2929.11,2929.36,2928.59,232.415
1452397791,2929.15,2928.96,2929.27,2928.71,147.387
1452397822,2928.98,2928.99,2929.16,2928.67,251.053
1452397855,2928.98,2928.77,2929.0,2928.64,212.012
1452397892,2929.32,2929.29,2929.46,2928.97,204.875
1452397918,2929.0,2929.16,2929.16,2928.6,274.106
1452397934,2929.07,2928.98,2929.26,2928.94,369.983
1452397957,2928.98,2928.87,2928.98,2928.67,508.727
1452398024,2928.62,2927.54,2928.62,2927.0,472.164
1452398051,2926.14,2925.91,2926.36,2925.67,209.716
1452398082,2926.48,2926.78,2926.9,2926.43,512.494
1452398104,2926.06,2926.21,2926.27,2925.92,244.517
1452398131,2926.24,2927.0,2927.31,2925.92,339.087
1452398166,2928.41,2927.71,2928.43,2927.66,239.558
1452398196,2927.67,2927.99,2928.27,2927.65,345.68
1452398225,2928.2,2928.35,2928.84,2928.2,294.55
1452398250,2927.82,2928.03,2928.37,2927.68,322.598
1452398279,2927.72,2928.35,2928.35,2927.47,297.358
1452398319,2929.57,2929.19,2930.0,2928.85,312.96
1452398353,2930.35,2931.1,2931.1,2930.23,326.382
1452398378,2931.85,2931.73,2932.36,2931.51,892.936
1452398411,2930.73,2931.33,2931.53,2930.5,422.144
1452398441,2932.02,2931.99,2932.92,2931.9,449.618
1452398475,2933.84,2933.98,2937.55,2933.55,725.025
1452398504,2935.06,2935.37,2935.94,2935.0,827.651
1452398534,2935.13,2933.8,2935.13,2931.68,942.62
1452398561,2934.81,2934.83,2934.83,2934.13,557.24
1452398588,2933.6,2933.29,2933.93,2933.0,624.917
1452398612,2934.44,2934.1,2934.69,2933.06,347.989
1452398651,2935.4,2935.14,2935.4,2934.31,651.838
1452398674,2934.0,2934.35,2935.14,2933.82,352.667
1452398699,2935.16,2934.9,2935.4,2934.76,509.244
1452398733,2934.88,2934.85,2935.4,2934.51,286.526
1452398767,2933.73,2933.87,2934.2,2933.41,328.748
1452398802,2933.06,2932.63,2933.16,2932.1,562.088
1452398825,2932.37,2932.01,2932.85,2932.01,677.375
1452398855,2932.42,2931.75,2932.42,2931.38,419.525
1452398879,2932.66,2932.1,2932.73,2932.1,297.079
1452398910,2932.1,2931.54,2932.27,2931.0,523.874
1452398950,2933.59,2934.51,2934.51,2933.45,368.535
1452398972,2934.18,2933.56,2934.73,2933.55,380.533
1452399005,2932.83,2933.18,2933.29,2931.93,349.815
1452399027,2933.45,2933.41,2933.47,2932.87,235.708
1452399066,2933.86,2934.2,2934.54,2933.84,344.726
1452399092,2933.41,2934.22,2934.54,2933.34,340.002
1452399116,2934.31,2934.37,2934.53,2933.57,319.948
1452399148,2934.04,2934.36,2934.54,2933.95,352.332
1452399180,2934.09,2934.93,2935.0,2934.09,379.508
1452399210,2934.92,2934.95,2935.17,2934.72,263.791
1452399242,2935.47,2935.79,2935.9,2935.22,276.901
1452399277,2935.77,2935.75,2936.0,2934.9,598.74
1452399308,2936.8,2937.61,2937.75,2936.45,301.953
1452399335,2936.32,2937.03,2937.66,2936.05,329.985
1452399362,2937.0,2936.92,2937.25,2936.4,786.168
1452399385,2937.06,2936.46,2937.25,2936.4,381.424
1452399418,2936.8,2936.7,2936.85,2936.41,313.752
1452399465,2938.0,2938.59,2940.0,2938.0,1612.81
1452399494,2939.13,2939.63,2939.97,2939.0,828.233
1452399522,2941.94,2941.07,2942.0,2941.0,1642.39
1452399551,2940.41,2940.55,2941.18,2940.0,355.749
1452399577,2939.7,2939.47,2940.18,2939.07,580.565
1452399612,2938.31,2937.86,2938.68,2937.46,1224.45
1452399630,2937.82,2937.77,2938.0,2937.44,608.387
1452399671,2938.77,2937.97,2938.77,2937.78,469.055
1452399691,2937.67,2937.23,2937.68,2937.0,524.505
